Action,idWin,x,y,w,h,timestamp
Snapshot,0x100da,203,1960,41,20,20160102171322,
Snapshot,0x220e9c,203,1960,46,25,20160102171322,
Snapshot,0x100b8,4,1,54,54,20160102171322,Start
Snapshot,0x100b4,0,0,62,2160,20160102171322,
Snapshot,0x100c4,70,1901,162,201,20160102171322,
Snapshot,0x90b44,3464,1896,376,264,20160102171322,Slack
Snapshot,0x250eac,962,681,78,17,20160102171322,
Snapshot,0x120e32,934,679,1118,919,20160102171322,Downloads
Snapshot,0xc0ef2,1984,2,78,17,20160102171322,
Snapshot,0x320d32,1951,0,1889,2086,20160102171322,wbtstech - Remote Desktop Connection
Snapshot,0x130cc8,3642,1082,78,17,20160102171322,
Snapshot,0x180516,1951,1080,1889,1080,20160102171322,GitHub
Snapshot,0x20a68,1752,2,78,17,20160102171322,
Snapshot,0x40a6e,62,0,1889,2160,20160102171322,WB+ Issue Tracker | Trello - Google Chrome
Snapshot,0x20c26,3645,2,78,17,20160102171322,
Snapshot,0xb054c,1920,0,1920,2160,20160102171322,6_Panels.css - H:\Dev\WBP\Plus-Master - Atom
Snapshot,0x1814e4,1094,398,78,17,20160102171322,
Snapshot,0x20147c,62,396,1227,688,20160102171322,Snipping Tool
Snapshot,0x1b06f4,21753,21082,78,17,20160102171322,
Snapshot,0x1d06e2,20062,21080,1889,1080,20160102171322,Snow Report, Weather, Hours of Operation, Trails & Cams | Whistler Blackcomb#snow-report - Internet Explorer
Snapshot,0xa1472,-32000,-32000,160,27,20160102171322,BST Schedule spreadsheet_2015-16.xlsx - Excel
Snapshot,0x31132,20330,20584,78,17,20160102171322,
Snapshot,0x9116c,20302,20582,1118,919,20160102171322,_Temp
Snapshot,0x104b0,30000,30000,3840,2160,20160102171322,SevenDex
Snapshot,0x150d82,1730,868,445,505,20160102171322,WT-NMP - Development Stack of Nginx Mysql Php
Snapshot,0xe006b2,-32000,-32000,160,27,20160102171322,Click Stats
Snapshot,0x3038e,0,0,0,0,20160102171322,
Snapshot,0x2a072e,0,0,0,0,20160102171322,
Snapshot,0x9101a,0,0,0,0,20160102171323,
Snapshot,0xa1102,0,0,0,0,20160102171323,
Snapshot,0xbe0de2,0,0,0,0,20160102171323,
