Action,idWin,x,y,w,h,timestamp
Snapshot,0x71059a,1801,1044,300,72,20160525093427,Progress
Snapshot,0x100c6,0,0,62,2160,20160525093427,
Snapshot,0x30362,512,0,512,768,20160525093427,Inbox - DWrapson@Whistlerblackcomb.com - Outlook
Snapshot,0x30360,504,768,528,8,20160525093427,
Snapshot,0x30378,1024,-8,8,784,20160525093427,
Snapshot,0x3036e,504,-8,8,784,20160525093427,
Snapshot,0x30374,504,-8,528,8,20160525093427,
Snapshot,0x330bce,62,0,3778,2160,20160525093427,
Snapshot,0x430820,15,0,3825,4,20160525093427,
Snapshot,0x2c0518,-7,0,526,775,20160525093427,WB+ Groups - Google Chrome
Snapshot,0xf034e,505,0,526,775,20160525093427,WB+ Issue Tracker | Trello - Google Chrome
Snapshot,0xc05fa,-7,0,526,775,20160525093427,WhistlerBlackcombIT/PlusUI: WB+ User Interface code base - Google Chrome
Snapshot,0x205ea,512,0,525,768,20160525093427,Inbox (38) - dominic@wrapson.com - Wrapson Family Mail - Google Chrome
Snapshot,0xf08de,55,2,976,773,20160525093428,_Movie
Snapshot,0x30732,0,32,960,733,20160525093428,Photos
Snapshot,0x80c5e,0,0,512,768,20160525093428,Excel
Snapshot,0x60d1c,-8,768,528,8,20160525093428,
Snapshot,0x60d16,512,-8,8,784,20160525093428,
Snapshot,0x1a0aee,-8,-8,8,784,20160525093428,
Snapshot,0x1c0aa6,-8,-8,528,8,20160525093428,
Snapshot,0x2088a,205,77,836,614,20160525093428,Slack - wbplus
Snapshot,0x800968,55,2,976,773,20160525093428,ESD-ISO (E:)
Snapshot,0x32082c,505,0,526,775,20160525093428,wbtstech - Remote Desktop Connection
Snapshot,0x270686,55,2,976,773,20160525093428,sysadmin
Snapshot,0x9c09ea,0,0,0,0,20160525093428,
Snapshot,0x1b0ae0,55,2,976,773,20160525093428,Guest Services - Web Access Control Links - Internet Explorer
Snapshot,0x140452,16,2,974,773,20160525093428,MINGW64:/h/Dev/WBP
Snapshot,0xf065a,0,0,512,768,20160525093428,Vert.Pointage - Microsoft Visual Studio
Snapshot,0xc04ce,-9,-9,9,786,20160525093428,
Snapshot,0xb04d0,-9,-9,530,9,20160525093429,
Snapshot,0x406d0,512,-9,9,786,20160525093429,
Snapshot,0x706ba,-9,768,530,9,20160525093429,
Snapshot,0x60766,2871,48,976,773,20160525093429,plus_rules.PNG ?- Photos
Snapshot,0x202dc,2794,717,286,520,20160525093429,Calculator
Snapshot,0x20302,0,32,270,480,20160525093429,Calculator
Snapshot,0x40296,-32000,-32000,160,28,20160525093429,Click Stats
Snapshot,0x50ca6,0,0,0,0,20160525093429,
Snapshot,0x305f0,0,0,1024,768,20160525093429,
Snapshot,0x50630,0,0,3840,2160,20160525093429,
